EndDate	EndDeaths	STATE-COUNTY	StartDate	StartDeaths	POPESTIMATE2020	ST_ABBR	VaxStartDate	Series_Complete_Yes_Start	Administered_Dose1_Recip_Start	VaxEndDate	Series_Complete_Yes_End	Administered_Dose1_Recip_End	Deaths	Series_Complete_Yes_Mid	Administered_Dose1_Recip_Mid	FullVaxPer100	OnePlusVaxPer100	DeathsPer100k
2021-04-30	107	AL-AUTAUGA	2021-03-01	91	56145	AL	2021-01-30	425	1844	2021-03-31	4789	8686	16	2607.0	5265.0	4.6	9.4	28.5
2021-04-30	305	AL-BALDWIN	2021-03-01	283	229287	AL	2021-01-30	2552	10999	2021-03-31	29399	44596	22	15975.5	27797.5	7.0	12.1	9.6
2021-04-30	56	AL-BARBOUR	2021-03-01	51	24589	AL	2021-01-30	100	1101	2021-03-31	2386	3429	5	1243.0	2265.0	5.1	9.2	20.3
2021-04-30	63	AL-BIBB	2021-03-01	60	22136	AL	2021-01-30	188	1380	2021-03-31	2079	3056	3	1133.5	2218.0	5.1	10.0	13.6
2021-04-30	135	AL-BLOUNT	2021-03-01	127	57879	AL	2021-01-30	357	2619	2021-03-31	4106	6722	8	2231.5	4670.5	3.9	8.1	13.8
2021-04-30	40	AL-BULLOCK	2021-03-01	36	9976	AL	2021-01-30	105	334	2021-03-31	1187	1464	4	646.0	899.0	6.5	9.0	40.1
2021-04-30	69	AL-BUTLER	2021-03-01	66	19504	AL	2021-01-30	71	870	2021-03-31	1842	3339	3	956.5	2104.5	4.9	10.8	15.4
2021-04-30	312	AL-CALHOUN	2021-03-01	286	113469	AL	2021-01-30	1105	5715	2021-03-31	12607	17204	26	6856.0	11459.5	6.0	10.1	22.9
2021-04-30	122	AL-CHAMBERS	2021-03-01	110	32865	AL	2021-01-30	274	1335	2021-03-31	3095	4931	12	1684.5	3133.0	5.1	9.5	36.5
2021-04-30	45	AL-CHEROKEE	2021-03-01	38	26294	AL	2021-01-30	171	1555	2021-03-31	2969	3923	7	1570.0	2739.0	6.0	10.4	26.6
2021-04-30	111	AL-CHILTON	2021-03-01	100	44397	AL	2021-01-30	172	1439	2021-03-31	3199	5177	11	1685.5	3308.0	3.8	7.5	24.8
2021-04-30	24	AL-CHOCTAW	2021-03-01	23	12418	AL	2021-01-30	96	1033	2021-03-31	2145	3441	1	1120.5	2237.0	9.0	18.0	8.1
2021-04-30	60	AL-CLARKE	2021-03-01	50	23291	AL	2021-01-30	63	1991	2021-03-31	3615	5679	10	1839.0	3835.0	7.9	16.5	42.9
2021-04-30	56	AL-CLAY	2021-03-01	54	13112	AL	2021-01-30	0	0	2021-03-31	1451	2606	2	725.5	1303.0	5.5	9.9	15.3
2021-04-30	41	AL-CLEBURNE	2021-03-01	39	14967	AL	2021-01-30	84	960	2021-03-31	1479	2143	2	781.5	1551.5	5.2	10.4	13.4
2021-04-30	115	AL-COFFEE	2021-03-01	102	53230	AL	2021-01-30	255	2157	2021-03-31	5274	9140	13	2764.5	5648.5	5.2	10.6	24.4
2021-04-30	134	AL-COLBERT	2021-03-01	118	55411	AL	2021-01-30	838	4936	2021-03-31	7200	12723	16	4019.0	8829.5	7.3	15.9	28.9
2021-04-30	28	AL-CONECUH	2021-03-01	24	11851	AL	2021-01-30	0	0	2021-03-31	1652	2923	4	826.0	1461.5	7.0	12.3	33.8
2021-04-30	28	AL-COOSA	2021-03-01	23	10650	AL	2021-01-30	58	527	2021-03-31	1308	1807	5	683.0	1167.0	6.4	11.0	46.9
2021-04-30	116	AL-COVINGTON	2021-03-01	106	36930	AL	2021-01-30	160	1945	2021-03-31	3578	6281	10	1869.0	4113.0	5.1	11.1	27.1
2021-04-30	57	AL-CRENSHAW	2021-03-01	54	13681	AL	2021-01-30	66	704	2021-03-31	1312	2341	3	689.0	1522.5	5.0	11.1	21.9
2021-04-30	193	AL-CULLMAN	2021-03-01	181	84515	AL	2021-01-30	1394	5703	2021-03-31	9921	13098	12	5657.5	9400.5	6.7	11.1	14.2
2021-04-30	111	AL-DALE	2021-03-01	107	48959	AL	2021-01-30	493	3605	2021-03-31	7413	11924	4	3953.0	7764.5	8.1	15.9	8.2
