country	gh_latest_case	gh_cases	gh_hospital_yes	gh_icu_yes	gh_outcome_admit	gh_outcome_icu	gh_outcome_death	who_Date_reported	who_Cumulative_cases	who_Cumulative_deaths	gh_v_who_cases	gh_v_who_deaths	gh_mortality	gh_data_age
MN	2020-03-10	2	0	0	0	0	0	2023-03-29	1007911	2136	0.0	0.0	0.0	1116
MY	2020-02-15	30	0	0	0	0	0	2023-03-29	5047040	36972	0.0	0.0	0.0	1140
AM	2020-03-01	2	0	0	0	0	0	2023-03-29	448151	8739	0.0	0.0	0.0	1125
AZ	2020-03-05	6	0	0	0	0	0	2023-03-29	829420	10171	0.0	0.0	0.0	1121
BA	2020-05-27	2434	0	0	0	0	0	2023-03-29	402076	16306	1.0	0.0	0.0	1038
TZ	2020-03-26	10	0	0	0	0	0	2023-03-29	42942	846	0.0	0.0	0.0	1100
CD	2020-03-27	60	0	0	0	0	0	2023-03-29	95895	1464	0.0	0.0	0.0	1099
AL	2020-05-27	1054	0	0	0	0	0	2023-03-29	333808	3601	0.0	0.0	0.0	1038
MX	2022-03-31	5278617	658159	50466	0	0	312717	2023-03-29	7527885	333449	70.0	94.0	5.9	365
LK	2020-01-27	2	0	0	0	0	0	2023-03-29	672068	16834	0.0	0.0	0.0	1159
LI	2020-03-02	1	0	0	0	0	0	2023-03-29	21458	87	0.0	0.0	0.0	1124
NA	2020-03-27	9	0	0	0	0	0		0	0	inf		0.0	1099
MZ	2020-03-26	7	0	0	0	0	0	2023-03-29	233334	2242	0.0	0.0	0.0	1100
CF	2020-03-27	6	0	0	0	0	0	2023-03-29	15367	113	0.0	0.0	0.0	1099
TN	2020-02-02	2	0	0	0	0	0	2023-03-29	1151593	29355	0.0	0.0	0.0	1153
CG	2020-03-27	63	0	0	0	0	0	2023-03-29	25143	389	0.0	0.0	0.0	1099
AO	2020-03-27	4	0	0	0	0	0	2023-03-29	105316	1933	0.0	0.0	0.0	1099
BT	2020-02-05	2	0	0	0	0	0	2023-03-29	62648	21	0.0	0.0	0.0	1150
ML	2020-03-27	9	0	0	0	0	0	2023-03-29	33107	743	0.0	0.0	0.0	1099
BG	2020-03-08	4	0	0	0	0	0	2023-03-29	1299557	38250	0.0	0.0	0.0	1118
