country	latest	cases	hospital_yes	icu_yes	outcome_admit	outcome_icu	outcome_death	who_Date_reported	who_Cumulative_cases	who_Cumulative_deaths	case_pct	death_pct	mortality	data_age	data_cat
LK	2020-01-27	2	0	0	0	0	0	2023-03-29	672068	16834	0.0	0.0	0.0	1163	1y+
ME	2020-05-05	322	0	0	0	0	0	2023-03-29	289292	2808	0.0	0.0	0.0	1064	1y+
NO	2020-03-24	658	0	0	0	0	0	2023-03-29	1480654	5288	0.0	0.0	0.0	1106	1y+
ZM	2020-03-27	22	0	0	0	0	0	2023-03-29	343415	4057	0.0	0.0	0.0	1103	1y+
KR	2020-03-12	14544	0	0	0	0	36	2023-03-29	30773460	34223	0.0	0.0	0.2	1118	1y+
OM	2020-03-04	30	0	0	0	0	0	2023-03-29	399449	4628	0.0	0.0	0.0	1126	1y+
JP	2021-03-29	346345	0	0	0	0	377	2023-03-29	33421785	73747	1.0	1.0	0.1	736	1y+
ZA	2020-05-10	10014	0	0	0	0	0	2023-03-29	4070434	102595	0.0	0.0	0.0	1059	1y+
IN	2020-04-19	20302	2919	0	0	0	33	2023-03-29	44707525	530841	0.0	0.0	0.2	1080	1y+
PK	2020-03-05	12	0	0	0	0	0	2023-03-29	1579245	30649	0.0	0.0	0.0	1125	1y+
CD	2020-03-27	60	0	0	0	0	0	2023-03-29	95895	1464	0.0	0.0	0.0	1103	1y+
GW	2020-03-26	2	0	0	0	0	0	2023-03-29	9230	176	0.0	0.0	0.0	1104	1y+
AT	2020-05-25	23983	0	0	0	0	0	2023-03-29	6024875	22082	0.0	0.0	0.0	1044	1y+
EG	2020-06-07	33931	0	0	0	0	0	2023-03-29	515882	24821	7.0	0.0	0.0	1031	1y+
BJ	2020-03-22	5	0	0	0	0	0	2023-03-29	27999	163	0.0	0.0	0.0	1108	1y+
RW	2020-03-27	54	0	0	0	0	0	2023-03-29	133194	1468	0.0	0.0	0.0	1103	1y+
BF	2020-03-27	211	0	0	0	0	0	2023-03-29	22056	396	1.0	0.0	0.0	1103	1y+
DE	2022-03-28	20561131	0	0	0	0	128764	2023-03-29	38338298	170493	54.0	76.0	0.6	372	1y+
CH	2022-03-14	555349	0	0	0	0	0	2023-03-29	4396055	13965	13.0	0.0	0.0	386	1y+
RO	2020-03-09	25	0	0	0	0	0	2023-03-29	3367921	67858	0.0	0.0	0.0	1121	1y+
SA	2020-03-05	8	0	0	0	0	0	2023-03-29	832709	9629	0.0	0.0	0.0	1125	1y+
SM	2020-02-28	2	0	0	0	0	1	2023-03-29	23798	123	0.0	1.0	50.0	1131	1y+
BR	2022-03-19	3853973	1818937	615919	0	0	611212	2023-03-29	37204677	699917	10.0	87.0	15.9	381	1y+
AL	2020-05-27	1054	0	0	0	0	0	2023-03-29	333808	3601	0.0	0.0	0.0	1042	1y+
PE	2021-07-03	2052334	0	0	0	0	0	2023-03-29	4491653	219741	46.0	0.0	0.0	640	1y+
AZ	2020-03-05	6	0	0	0	0	0	2023-03-29	829420	10171	0.0	0.0	0.0	1125	1y+
RU	2020-05-09	198301	0	0	0	0	0	2023-03-29	22603646	397146	1.0	0.0	0.0	1060	1y+
EE	2023-03-14	652972	0	0	0	0	0	2023-03-29	616478	2965	106.0	0.0	0.0	21	<30d
BH	2020-03-07	68	0	0	0	0	0	2023-03-29	696614	1536	0.0	0.0	0.0	1123	1y+
DK	2020-03-24	250	0	0	0	0	0	2023-03-29	3407804	8362	0.0	0.0	0.0	1106	1y+
CF	2020-03-27	6	0	0	0	0	0	2023-03-29	15367	113	0.0	0.0	0.0	1103	1y+
TZ	2020-03-26	10	0	0	0	0	0	2023-03-29	42942	846	0.0	0.0	0.0	1104	1y+
GM	2020-03-18	1	0	0	0	0	0	2023-03-29	12598	372	0.0	0.0	0.0	1112	1y+
SO	2020-03-27	3	0	0	0	0	0	2023-03-29	27334	1361	0.0	0.0	0.0	1103	1y+
GA	2020-03-22	6	0	0	0	0	0	2023-03-29	48981	306	0.0	0.0	0.0	1108	1y+
TN	2020-02-02	2	0	0	0	0	0	2023-03-29	1151593	29355	0.0	0.0	0.0	1157	1y+
SC	2020-03-20	7	0	0	0	0	0	2023-03-29	50937	172	0.0	0.0	0.0	1110	1y+
KH	2020-01-27	2	0	0	0	0	0	2023-03-29	138723	3056	0.0	0.0	0.0	1163	1y+
MK	2020-05-27	2039	0	0	0	0	0	2023-03-29	347492	9666	1.0	0.0	0.0	1042	1y+
MG	2020-03-27	17	0	0	0	0	0	2023-03-29	68049	1424	0.0	0.0	0.0	1103	1y+
LI	2020-03-02	1	0	0	0	0	0	2023-03-29	21458	87	0.0	0.0	0.0	1128	1y+
XK	2020-03-14	5	0	0	0	0	0	2023-03-29	273621	3202	0.0	0.0	0.0	1116	1y+
NA	2020-03-27	9	0	0	0	0	0		0	0	inf		0.0	1103	1y+
IL	2020-03-02	22	0	0	0	0	0	2023-03-29	4812797	12390	0.0	0.0	0.0	1128	1y+
SG	2020-03-10	328	0	0	0	0	0	2023-03-29	2255812	1722	0.0	0.0	0.0	1120	1y+
CV	2020-03-25	4	0	0	0	0	0	2023-03-29	63260	413	0.0	0.0	0.0	1105	1y+
GE	2020-03-17	66	0	0	0	0	0	2023-03-29	1833502	17019	0.0	0.0	0.0	1113	1y+
PY	2020-04-05	114	0	0	0	0	0	2023-03-29	735759	19880	0.0	0.0	0.0	1094	1y+
AF	2020-03-07	8	0	0	0	0	0	2023-03-29	210181	7882	0.0	0.0	0.0	1123	1y+
RE	2020-03-15	18	0	0	0	0	0	2023-03-29	494595	921	0.0	0.0	0.0	1115	1y+
