start_date	fips	start_deaths	end_date	end_deaths	deaths	preventable_est
2021-04-15	01001	103.0	2022-09-25	227.0	124	82
2021-04-15	01003	302.0	2022-09-25	711.0	409	270
2021-04-15	01005	55.0	2022-09-25	102.0	47	31
2021-04-15	01007	59.0	2022-09-25	107.0	48	32
2021-04-15	01009	134.0	2022-09-25	258.0	124	82
2021-04-15	01011	40.0	2022-09-25	54.0	14	9
2021-04-15	01013	67.0	2022-09-25	129.0	62	41
2021-04-15	01015	311.0	2022-09-25	655.0	344	227
2021-04-15	01017	122.0	2022-09-25	168.0	46	30
2021-04-15	01019	44.0	2022-09-25	87.0	43	28
2021-04-15	01021	109.0	2022-09-25	213.0	104	69
2021-04-15	01023	24.0	2022-09-25	38.0	14	9
2021-04-15	01025	60.0	2022-09-25	106.0	46	30
2021-04-15	01027	55.0	2022-09-25	90.0	35	23
2021-04-15	01029	41.0	2022-09-25	70.0	29	19
2021-04-15	01031	113.0	2022-09-25	241.0	128	85
2021-04-15	01033	130.0	2022-09-25	269.0	139	92
2021-04-15	01035	28.0	2022-09-25	73.0	45	30
2021-04-15	01037	28.0	2022-09-25	62.0	34	22
2021-04-15	01039	114.0	2022-09-25	247.0	133	88
2021-04-15	01041	57.0	2022-09-25	105.0	48	32
2021-04-15	01043	189.0	2022-09-25	380.0	191	126
2021-04-15	01045	111.0	2022-09-25	244.0	133	88
2021-04-15	01047	149.0	2022-09-25	254.0	105	69
2021-04-15	01049	181.0	2022-09-25	340.0	159	105
2021-04-15	01051	200.0	2022-09-25	358.0	158	104
2021-04-15	01053	74.0	2022-09-25	175.0	101	67
2021-04-15	01055	346.0	2022-09-25	676.0	330	218
2021-04-15	01057	60.0	2022-09-25	97.0	37	24
2021-04-15	01059	82.0	2022-09-25	146.0	64	42
2021-04-15	01061	75.0	2022-09-25	170.0	95	63
2021-04-15	01063	34.0	2022-09-25	52.0	18	12
2021-04-15	01065	75.0	2022-09-25	109.0	34	22
2021-04-15	01067	44.0	2022-09-25	78.0	34	22
2021-04-15	01069	278.0	2022-09-25	523.0	245	162
2021-04-15	01071	110.0	2022-09-25	250.0	140	93
2021-04-15	01073	1490.0	2022-09-25	2445.0	955	631
2021-04-15	01075	34.0	2022-09-25	69.0	35	23
2021-04-15	01077	228.0	2022-09-25	408.0	180	119
2021-04-15	01079	95.0	2022-09-25	171.0	76	50
